TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
32,5113.03,0.7882144540332433,207.25999999999976,447.5000000000021,868.1000000000009,429.3999999999995,431.34000000000077,965.699999999997,142.97999999999968,609.5700000000008,743.9799999999994,267.1999999999994,0,7,7,0,0,7,8,7,7,7
33,5283.379999999999,0.7799170026287807,207.25999999999976,466.7800000000023,914.180000000001,429.3999999999995,431.34000000000077,1015.6499999999966,150.01999999999964,609.5700000000008,780.1399999999993,279.03999999999957,0,8,9,0,0,9,8,0,8,8
34,5445.669999999999,0.7757204343173012,207.25999999999976,486.0600000000025,950.020000000001,442.6799999999995,431.34000000000077,1054.4999999999964,157.0599999999996,609.5700000000008,816.2999999999992,290.8799999999997,0,8,7,4,0,7,8,0,8,8
35,5611.67,0.7885128666551724,207.25999999999976,486.0600000000025,950.020000000001,442.6799999999995,597.3400000000019,1054.4999999999964,157.0599999999996,609.5700000000008,816.2999999999992,290.8799999999997,0,0,0,0,50,0,0,0,0,0
36,5777.670000000003,0.7931200267241452,207.25999999999976,486.0600000000025,950.020000000001,442.6799999999995,710.2200000000036,1054.4999999999964,157.0599999999996,662.6900000000016,816.2999999999992,290.8799999999997,0,0,0,0,34,0,0,16,0,0
37,6003.670000000002,0.8081540419403302,207.25999999999976,486.0600000000025,950.020000000001,668.6799999999986,710.2200000000036,1054.4999999999964,157.0599999999996,662.6900000000016,816.2999999999992,290.8799999999997,0,0,0,50,0,0,0,0,0,0
38,6223.750000000001,0.807078867553223,207.25999999999976,488.4700000000025,955.140000000001,867.5599999999978,713.5400000000036,1060.0499999999963,157.0599999999996,666.0100000000017,816.2999999999992,292.35999999999973,0,1,1,44,1,1,0,1,0,1
39,6388.750000000002,0.8060079464695137,207.25999999999976,502.9300000000027,985.860000000001,899.1999999999977,733.4600000000039,1093.349999999996,163.21999999999957,685.930000000002,816.2999999999992,301.23999999999984,0,6,6,7,6,6,7,6,0,6
40,6570.590000000002,0.8044814442811015,207.25999999999976,514.9800000000027,1011.4600000000011,917.2799999999976,750.0600000000042,1121.0999999999958,166.73999999999955,702.5300000000022,870.5399999999989,308.63999999999993,0,5,5,4,5,5,4,5,12,5
41,6826.589999999998,0.7896421211817569,207.25999999999976,514.9800000000027,1011.4600000000011,1173.2799999999945,750.0600000000042,1121.0999999999958,166.73999999999955,702.5300000000022,870.5399999999989,308.63999999999993,0,0,0,50,0,0,0,0,0,0
42,6922.089999999999,0.8052442176906963,302.7600000000003,514.9800000000027,1011.4600000000011,1173.2799999999945,750.0600000000042,1121.0999999999958,166.73999999999955,702.5300000000022,870.5399999999989,308.63999999999993,50,0,0,0,0,0,0,0,0,0
43,7086.529999999998,0.8046241410197548,339.05000000000075,522.2100000000027,1031.940000000001,1234.7199999999932,750.0600000000042,1143.2999999999956,170.25999999999954,715.8100000000024,870.5399999999989,308.63999999999993,19,3,4,12,0,4,4,4,0,0
44,7259.109999999997,0.8029819139902136,352.4200000000009,541.4900000000024,1067.7800000000002,1270.5599999999924,750.0600000000042,1182.1499999999953,176.4199999999995,739.0500000000028,870.5399999999989,308.63999999999993,7,8,7,7,0,7,7,7,0,0
45,7430.159999999995,0.801092390958903,365.7900000000011,558.3600000000022,1103.6199999999994,1306.3999999999917,750.0600000000042,1220.999999999995,183.45999999999947,762.2900000000031,870.5399999999989,308.63999999999993,7,7,7,7,0,7,8,7,0,0
46,7603.649999999993,0.7990222879269862,379.1600000000013,575.230000000002,1139.4599999999987,1342.239999999991,750.0600000000042,1259.8499999999947,189.61999999999944,788.8500000000035,870.5399999999989,308.63999999999993,7,7,7,7,0,7,7,8,0,0
47,7778.939999999991,0.7962758664279417,392.53000000000145,592.1000000000017,1175.299999999998,1383.19999999999,750.0600000000042,1298.6999999999944,195.7799999999994,812.0900000000039,870.5399999999989,308.63999999999993,7,7,7,8,0,7,7,7,0,0
48,7954.2299999999905,0.7936652230617259,405.9000000000016,608.9700000000015,1216.259999999997,1419.0399999999893,750.0600000000042,1337.549999999994,201.93999999999937,835.3300000000042,870.5399999999989,308.63999999999993,7,7,8,7,0,7,7,7,0,0
49,8129.949999999989,0.7908296814740693,419.2700000000018,625.8400000000013,1252.0999999999963,1454.8799999999885,750.0600000000042,1381.9499999999937,208.09999999999934,858.5700000000046,870.5399999999989,308.63999999999993,7,7,7,7,0,8,7,7,0,0
50,8302.029999999986,0.7885282801033087,434.550000000002,642.7100000000011,1287.9399999999955,1490.7199999999877,750.0600000000042,1420.7999999999934,214.2599999999993,881.810000000005,870.5399999999989,308.63999999999993,8,7,7,7,0,7,7,7,0,0
51,8474.609999999986,0.7861436871470301,447.9200000000022,661.9900000000008,1323.7799999999947,1526.559999999987,750.0600000000042,1459.649999999993,220.41999999999928,905.0500000000053,870.5399999999989,308.63999999999993,7,8,7,7,0,7,7,7,0,0
52,8645.659999999983,0.7836844422923427,461.29000000000235,678.8600000000006,1359.619999999994,1562.3999999999862,750.0600000000042,1498.4999999999927,227.45999999999924,928.2900000000056,870.5399999999989,308.63999999999993,7,7,7,7,0,7,8,7,0,0
53,8811.659999999987,0.7930368431522258,461.29000000000235,844.8600000000031,1359.619999999994,1562.3999999999862,750.0600000000042,1498.4999999999927,227.45999999999924,928.2900000000056,870.5399999999989,308.63999999999993,0,50,0,0,0,0,0,0,0,0
54,8977.659999999989,0.7980876805509519,461.29000000000235,1010.8600000000056,1359.619999999994,1562.3999999999862,750.0600000000042,1498.4999999999927,227.45999999999924,928.2900000000056,870.5399999999989,308.63999999999993,0,50,0,0,0,0,0,0,0,0
55,9217.249999999987,0.7850403566700271,461.29000000000235,1067.300000000005,1359.619999999994,1745.5499999999847,750.0600000000042,1498.4999999999927,227.45999999999924,928.2900000000056,870.5399999999989,308.63999999999993,0,17,0,33,0,0,0,0,0,0
